period,org_code,type,attendances,breaches,admissions
Mar-17,RF4,1,21289,2879,5060
Mar-17,RF4,2,813,22,0
Mar-17,RF4,other,2850,6,0
Mar-17,R1H,1,30210,5902,6943
Mar-17,R1H,2,807,11,0
Mar-17,R1H,other,11352,136,0
Mar-17,AD913,other,4381,2,0
Mar-17,RYX,other,19562,258,0
Mar-17,RQM,1,17414,2030,3597
Mar-17,RQM,other,7817,86,0
Mar-17,RJ6,1,6654,1322,2202
Mar-17,RJ6,other,3844,140,0
Mar-17,Y02696,other,1069,0,0
Mar-17,NX122,other,2147,0,0
Mar-17,RVR,1,12649,473,3360
Mar-17,RVR,2,544,5,7
Mar-17,RJ1,1,12385,2092,3181
Mar-17,RJ1,2,832,0,0
Mar-17,RJ1,other,2939,5,0
Mar-17,Y03082,other,4068,0,0
Mar-17,RQX,1,10300,635,1684
Mar-17,RY9,other,4676,0,0
Mar-17,RYJ,1,10020,2632,3270
Mar-17,RYJ,2,4274,68,12
Mar-17,RYJ,other,11156,190,0
Mar-17,RJZ,1,17810,4153,4477
Mar-17,RJZ,2,2122,1,0
Mar-17,RJZ,other,5027,186,0
Mar-17,RAX,1,9239,968,1839
Mar-17,RAX,2,1163,4,0
Mar-17,RJ2,1,18137,2993,4967
Mar-17,RJ2,other,6527,113,0
Mar-17,R1K,1,12137,4874,4659
Mar-17,R1K,other,16738,126,0
Mar-17,RP6,2,9020,281,11
Mar-17,RAT,other,5561,62,0
Mar-17,RAP,1,15077,2170,2564
Mar-17,Y02973,other,856,0,0
Mar-17,AF003,other,741,0,0
Mar-17,AF002,other,657,0,0
Mar-17,RAL,1,19072,3267,3872
Mar-17,RAL,other,3288,0,0
Mar-17,Y03047,other,1977,0,0
Mar-17,RJ7,1,13430,1667,3814
Mar-17,RJ7,other,1195,0,0
Mar-17,F84747,other,2541,0,0
Mar-17,RAS,1,5838,1889,2126
Mar-17,RAS,other,8448,59,0
Mar-17,Y03094,other,3125,0,0
Mar-17,E84068,other,3373,0,0
Mar-17,RKE,1,8528,990,1347
Mar-17,RRV,1,12059,1252,2182
Mar-17,Y02147,other,9912,0,0
Mar-17,Y03201,other,2414,0,0
Mar-17,NL7,other,5592,0,0
Mar-17,8J094,other,2644,0,0
Mar-17,RDD,1,11981,1075,2468
Mar-17,RC1,1,6402,306,2022
Mar-17,M85813,other,3110,0,0
Mar-17,RQ3,1,5732,173,920
Mar-17,RJF,1,5360,272,1870
Mar-17,RJF,other,4580,0,5
Mar-17,RGT,1,9567,766,3318
Mar-17,RGT,other,3439,2,16
Mar-17,RFS,1,6889,631,1996
Mar-17,NQ108,other,2410,4,0
Mar-17,RDE,1,7562,651,2597
Mar-17,RDE,other,4545,0,0
Mar-17,Y03571,other,6304,77,0
Mar-17,RTG,1,11780,1773,3745
Mar-17,RTG,other,4466,0,50
Mar-17,RY8,other,5316,0,0
Mar-17,NNJ,other,1710,3,0
Mar-17,RWH,1,9376,2290,3222
Mar-17,RWH,other,4832,0,0
Mar-17,NQ106,other,615,1,0
Mar-17,RLT,1,6726,799,1119
Mar-17,NTPAL,other,2159,0,0
Mar-17,NEH06,other,2116,0,0
Mar-17,RR1,1,19628,3654,6006
Mar-17,RR1,other,3528,53,1390
Mar-17,RY4,other,987,15,0
Mar-17,RQQ,1,3766,405,856
Mar-17,RGQ,1,7321,560,1998
Mar-17,RGQ,other,531,0,199
Mar-17,RGP,1,6301,318,1242
Mar-17,RGP,other,55,0,0
Mar-17,RNQ,1,7653,1546,2555
Mar-17,C82038,other,451,0,0
Mar-17,RY5,other,14325,142,18
Mar-17,NJS05,other,3886,80,0
Mar-17,RC9,1,8814,172,2650
Mar-17,RC9,other,4029,0,0
Mar-17,C82009,other,368,0,0
Mar-17,NLO11,other,575,1,0
Mar-17,NLO09,other,621,0,0
Mar-17,RQ8,1,8163,1371,2291
Mar-17,RQ8,other,428,7,0
Mar-17,RD8,1,7692,887,1468
Mar-17,RD8,other,4697,10,0
Mar-17,Y02652,other,3822,0,0
Mar-17,RM1,1,10075,1372,2612
Mar-17,RM1,other,971,0,0
Mar-17,RGN,1,7832,993,2406
Mar-17,RGN,other,828,0,0
Mar-17,RNS,1,9027,1336,3303
Mar-17,RNS,2,1104,6,0
Mar-17,NMH01,other,5502,0,0
Mar-17,NR3,other,5046,459,0
Mar-17,RX1,1,15446,3187,4076
Mar-17,RX1,2,1564,12,0
Mar-17,RX1,other,220,0,0
Mar-17,NLO10,other,2994,17,0
Mar-17,C82010,other,272,0,0
Mar-17,NLO12,other,309,1,0
Mar-17,Y02428,other,2300,0,0
Mar-17,RXK,1,14665,2828,3067
Mar-17,RXK,2,2087,39,14
Mar-17,RXK,other,2783,0,0
Mar-17,RK5,1,8842,599,2765
Mar-17,RK5,other,4169,26,7
Mar-17,RXW,1,10371,2217,2441
Mar-17,RXW,other,1673,0,0
Mar-17,R1D,other,1987,0,0
Mar-17,Y02615,other,5493,0,0
Mar-17,RJC,1,5572,198,1806
Mar-17,RJC,other,663,0,0
Mar-17,RAJ,1,8595,680,2314
Mar-17,Y02470,other,2009,0,0
Mar-17,Y02961,other,3329,0,0
Mar-17,RNA,1,9006,679,2425
Mar-17,RNA,other,6393,0,0
Mar-17,RQW,1,8737,1935,1835
Mar-17,RCX,1,5320,496,2049
Mar-17,RL4,1,11505,1651,2606
Mar-17,RL4,other,8651,104,0
Mar-17,RWD,1,13111,2737,3502
Mar-17,RRK,1,10032,1543,2818
Mar-17,RKB,1,11986,3213,4077
Mar-17,RKB,2,2081,47,95
Mar-17,RKB,other,2187,2,1
Mar-17,RWE,1,12697,3227,3758
Mar-17,RWE,2,1850,19,9
Mar-17,RWE,other,6073,69,286
Mar-17,RJE,1,15129,4019,4511
Mar-17,RJE,2,429,0,0
Mar-17,RJE,other,4774,91,0
Mar-17,RBK,1,6360,1986,1936
Mar-17,RBK,other,3809,1,0
Mar-17,ATQ02,other,4019,0,0
Mar-17,RWG,1,8042,2644,2701
Mar-17,RWG,other,4023,3,0
Mar-17,RGR,1,5887,419,2063
Mar-17,RWP,1,9976,2711,3201
Mar-17,RWP,other,5581,2,0
Mar-17,RLQ,1,4618,915,1185
Mar-17,RLQ,other,3060,0,0
Mar-17,REM,1,7186,1449,2718
Mar-17,REM,other,7197,0,0
Mar-17,RCF,1,5480,379,1078
Mar-17,RBS,1,5349,216,1130
Mar-17,RFF,1,7146,537,2143
Mar-17,RXL,1,7064,2208,2247
Mar-17,RXL,other,9520,8,0
Mar-17,RMC,1,8492,1563,2242
Mar-17,RMC,other,1072,1,7
Mar-17,RAE,1,11362,864,3045
Mar-17,NNF09,other,1635,2,0
Mar-17,RY2,other,8073,230,0
Mar-17,RWY,1,12967,337,2628
Mar-17,RW3,1,13272,2106,3890
Mar-17,RW3,2,3620,18,161
Mar-17,RW3,other,10219,28,148
Mar-17,RLN,1,7844,795,2650
Mar-17,RLN,2,2497,8,24
Mar-17,RLN,other,2729,2,0
Mar-17,RJR,1,6019,922,1541
Mar-17,RJR,other,598,5,0
Mar-17,RXP,1,10733,752,3387
Mar-17,RXP,other,10497,0,0
Mar-17,RNN,other,1781,50,0
Mar-17,RP5,1,11271,1035,3315
Mar-17,RP5,other,2715,0,388
Mar-17,RJN,1,3998,704,958
Mar-17,RJN,other,262,0,0
Mar-17,RXR,1,8923,2562,3054
Mar-17,RXR,other,7884,401,70
Mar-17,NNF28,other,88,0,0
Mar-17,RR7,1,7781,409,1670
Mar-17,RR7,other,2448,3,0
Mar-17,RCD,1,3975,135,988
Mar-17,RCD,other,895,0,0
Mar-17,RWA,1,11425,690,3329
Mar-17,RWA,other,1402,2,0
Mar-17,RV9,other,1621,0,0
Mar-17,RXN,1,5770,1793,1721
Mar-17,RXN,other,6424,208,326
Mar-17,Y01231,other,2559,0,0
Mar-17,RR8,1,18152,1844,5213
Mar-17,RR8,other,2100,0,0
Mar-17,Y02875,other,4280,0,0
Mar-17,RY1,other,2541,0,0
Mar-17,REP,2,1139,15,111
Mar-17,Y01069,other,3222,0,0
Mar-17,RBT,1,5708,205,1840
Mar-17,RBT,other,1649,0,0
Mar-17,RXF,1,20398,1515,5047
Mar-17,RNL,1,7821,1185,2055
Mar-17,RVW,1,5840,254,1650
Mar-17,RVW,other,1744,2,4
Mar-17,RTV,other,2011,0,0
Mar-17,NLO01,other,6745,192,0
Mar-17,RJL,1,11630,2006,2565
Mar-17,RJL,other,1497,1,3
Mar-17,RTF,1,8260,671,3975
Mar-17,RTF,other,8306,54,31
Mar-17,RW6,1,22930,4997,5328
Mar-17,RW6,other,4301,96,107
Mar-17,RT2,other,3463,0,0
Mar-17,AC008,other,1042,0,0
Mar-17,RQ6,1,7715,2040,2344
Mar-17,RQ6,2,1761,28,44
Mar-17,RQ6,other,10500,0,0
Mar-17,RM3,1,8898,1355,2637
Mar-17,AXT02,other,3173,0,0
Mar-17,RCU,1,5440,227,726
Mar-17,RHQ,1,9335,2094,2861
Mar-17,RHQ,2,1364,0,3
Mar-17,RHQ,other,6906,40,4
Mar-17,RTR,1,10362,558,1919
Mar-17,RTR,other,5164,0,16
Mar-17,RE9,1,5071,99,1228
Mar-17,RE9,other,669,1,0
Mar-17,RVY,1,6542,1384,1905
Mar-17,RVY,other,5161,6,0
Mar-17,RBN,1,8808,1757,3497
Mar-17,RBN,other,5611,54,0
Mar-17,RWJ,1,8174,1652,2699
Mar-17,RMP,1,7390,869,1708
Mar-17,RTD,1,10697,1131,2116
Mar-17,RTD,2,1997,40,15
Mar-17,RTD,other,4685,0,4
Mar-17,RFR,1,6515,1054,1671
Mar-17,RFR,other,4146,0,0
Mar-17,RM2,1,8420,685,2478
Mar-17,RTX,1,7121,1411,2019
Mar-17,RTX,other,1823,75,78
