period,breaches,attendances,performance
2016-04-01,186122,1867781,0.9003512724457525
2016-05-01,201329,2070340,0.9027555860390081
2016-06-01,184912,1958802,0.9055994429248081
2016-07-01,201973,2079034,0.9028524786030435
2016-08-01,174419,1932901,0.909763097023593
2016-09-01,182597,1952464,0.9064786853944554
2016-10-01,219137,2001816,0.8905308979446662
2016-11-01,221713,1907871,0.8837903610883545
2016-12-01,268818,1944567,0.8617594559611471
2017-01-01,281612,1895272,0.851413411900772
2017-02-01,216416,1735619,0.8753090395991286
2017-03-01,201392,2015834,0.9000949482943537
2017-04-01,184930,1949762,0.9051525263083392
2017-05-01,212872,2066789,0.8970035160821932
2017-06-01,184945,1994056,0.9072518525056468
2017-07-01,200180,2073944,0.9034785895858326
2017-08-01,186706,1924663,0.9029928875860346
2017-09-01,199027,1925961,0.8966609396555797
2017-10-01,205602,2044137,0.8994186788850258
2017-11-01,222082,1976971,0.8876655246839736
2017-12-01,300893,2003954,0.8498503458662225
2018-01-01,294029,2000086,0.8529918213516818
2018-02-01,272187,1820012,0.8504476893558943
2018-03-01,315232,2049785,0.8462121637147311
2018-04-01,226764,1984369,0.8857248828216929
2018-05-01,208002,2164458,0.9039011151983545
2018-06-01,193418,2093942,0.9076297242234981
2018-07-01,232824,2179896,0.8931949047110505
2018-08-01,205239,1997854,0.8972702710007838
2018-09-01,221756,2005695,0.8894368286304747
2018-10-01,228550,2079492,0.8900933497219513
2018-11-01,252602,2037847,0.8760446687116353
2018-12-01,277514,2047518,0.8644632183941728
2019-01-01,330696,2113413,0.843525141560121
2019-02-01,308388,1954947,0.8422525009629417
2019-03-01,290359,2167550,0.8660427671795345
